Query_Id	Post_Title	Post_Body	QE_Entities	ST_Entities	ECO_Entities
25	BP goes up after meal	In the last few monts I had 4 cases when my BP increased about 10 minute after I eat lunch. From Normal to 150/95. then slowly after few hours went to normal. For the last 3 years i have been eating only the right food and exsersizing 30 to 60 min every day. I have been eating salads and chicken and fish , no pork or beef. My wife is cooking whitout salt, and I'm very strict on eating low sodium food. The salt I replaced with hot peppers. And No problems for the last tree years. And suddenly high blood pressure. In the last 3 monts i had 3 blood tests. fist test total cholesterol 246/HDL 55/VLDL 20/LDL 171 ; TSH 0.146 after 1 month second test total cholesterol 189/HDL 52/VLDL 15/LDL 122 ; after 3 monts Last test total cholesterol 241/HDL 54/VLDL 18/LDL 169 ; TSH 0.302 And because one of the rises of bp after eating was 170/100 my doctor put me toprol 50mg. and he want to test the thyroid levels. While waiting for the lab order to come in the mail I start searching the net for answers. I suspect Hyperthyroid. I start looking about the iodine i take with the food , and I remember that all the cases of high BP are day after I had a fish for diner or lunch. So I don't know the answer. Is the hyper thiroid become hyper active after meal or is always hyper active? Maybe something else is trigering this HBP. I'm afraid to eat. I cant eat the bad food, the good food is not good anymore for me. I just hope that this is something temporary. Also often last mont I have nasal congestions and I'm using afrin.	['Thyrotropin', 'Total cholesterol', 'Risedronate', 'Lunch', 'Toprol', 'Afrin', 'Hypertensive disease', 'ENT surgical result - nose nasal congestion', 'Iodine', 'Hyperthyroidism']	[]	['Prehypertension', 'amphotericin B liposomal', 'Hypertensive disease', 'Total cholesterol', 'Cerebrovascular accident', 'Reading (activity)', 'Arterial thrombosis', 'Epistaxis', 'Myocardial Infarction']
26	Low renin question	Hello there, My partner was looking at some blood test results from 2015 in relation to aldosterone and renin, and he has noticed that his renin is <0.5 (mu/l) , with his aldosterone being 336 (pmol/l). He has had hypertension since then, which is being medicated. He wants to know if his renin level is normal for someone with hypertension, and what can he do about it? Kind regards, Lydz	['Aldosterone', 'Renin', 'Hypertensive disease']	['Renin decreased', 'Hypertensive disease', 'Congenital adrenal hyperplasia due to 11-Beta-hydroxylase deficiency']	['amphotericin B liposomal', 'Hypertensive disease', 'Epistaxis']
27	blood pressure drops after exercise	My systolic blood pressure runs from mid 140's to 160. After aeroebic exercise it can drop to 120. This can last a few hours however the next day it goes back to my normal range. I take 50mg atenolol and 20mg lisinipril daily. Is it normal for BP to drop that much after exerciae?	['Exercise', 'Atenolol']	['Exercise', 'VENTRICULAR SEPTAL DEFECT 2', 'Hypertensive disease']	['amphotericin B liposomal', 'Hypertensive disease', 'Atenolol', 'Epistaxis']
28	Hypertension at early age	Hi. I am male, 27 years old and diagnosed with hypertension. Before that, i have a horrible experience when my bp reached 200/120 last January 27, 2017. I don't have any idea what causes that. Fortunatelty, i did not have stroke. After that incident, i monitored my bp for 2 weeks as advised by my dr. It says 140/90, sometimes it will reach to 150/90 then lower to 130/80, 120/80. Right now, i am taking my maintenance for 2 days and i am still experiencing dizziness and tired feeling. Is that normal? My main problem is actually i still don't feel okay eventhough i have now my meds. Everytime i go to work, i experience dizziness before going out in our house. Then undertime at work due to tiredness. Please help me and share some tips.	['Fatigue', 'Dizziness', 'Cerebrovascular accident', 'Hypertensive disease', 'Feeling tired']	[]	['amphotericin B liposomal', 'Hypertensive disease', 'Feeling tired', 'Fatigue', 'Pyrimethamine', 'Epistaxis', 'Dizziness']
29	Use of Apple Cider Vinegar for Lowering High Blood Presure ? (Page 1)	I checked my blood pressure at a grocery store it read 149/89 and this was on Saturday and I have been online to check on how to reduce it naturally. I started taking apple cider vinegar on Monday and went to the doctor on Tuesday and my blood pressure went down 128/86. I'm not sure if this worked that fast or the machine in the grocery store was wrong. Does anyone have any idea if using apple cider vinegar works on lower your blood pressure?	['Apple Cider Vinegar']	['Brompheniramine', 'Pharmacologic Substance', 'Hypertensive disease', 'Apple Cider Vinegar']	['amphotericin B liposomal', 'Hypertensive disease', 'Epistaxis']
30	Rapid changes in blood pressure	"38 year old male, 5'9"" and 145 lbs. - Lately when I take my blood pressure, I notice large changes with each passing minute. For example, I sat down and two minutes later I took my blood pressure. It was 155/88 with a pulse of 87. I waited a minute, took it again, and it was 135/78 with a pulse of 78. I took it a third time and it was 124/78 with a pulse of 73. Should I be worried about high blood pressure? This has happened twice over the past two days. Should I sit longer before taking my initial bp? I do suffer from anxiety attacks, and this could also have something to do with it. Any advice would be greatly appreciated."	['Anxiety attack', 'Hypertensive disease']	[]	['amphotericin B liposomal', 'Hypertensive disease', 'Fever', 'Hemiplegic migraine, familial type 1', 'Epistaxis', 'Anxiety attack']
31	Fibromyalgia symptoms	Hi all, I will try to keep a super long story short. I went to my GP about a week ago after going to weeks with a growing pains in my right shoulder and upper arm. An xray came out fine, I was prescribed 800mg ibuprofen. Two days later the pain went to my right shoulder/arm with tingling and coldness in that hand.I was prescribed a steroid and muscle relaxer. I went back to my GP today.. Almost a week later. I was diagnosed with depression/anxiety and says i have 12 of the 18 trigger points.I have aching muscles in my upper arms, shoulders, neck and down my back. They do not hurt more or less while I'm doing things but do tend to get a tired feeling. Not all spots hurt at once..( One day a shoulder the next day my neck.) But it will remain constant. Also, my joints both shoulders crack/crunch or pop with movement. The Prednisone I was prescribed doesn't seem to be helping much. Im going to an Ortho in less than a week and we will go from there. I do not want to jump the gun but was wondering if these are perhaps symptoms of fibromyalgia?	['Feels cold', 'Myalgia', 'Exanthema', 'Fibromyalgia', 'Steroids', 'Growing pains', 'Prednisone', 'Pain', 'Feeling tired']	[]	['Lamivudine / Zidovudine', 'Musculoskeletal Pain', 'Confusion', 'Fatigue', 'Epoprostenol', 'Pruritus', 'Fibromyalgia', 'Exanthema', 'Seizures', 'Myalgia', 'Pain']
32	Vitamin D Fibromyalgia	Can I treat fibromyalgia with vitamin D food supplements ?	['Fibromyalgia', 'Vitamin D']	['Communicable Diseases', 'Vitamin D', 'Fibromyalgia', 'Steroids']	['Confusion', 'Lamivudine / Zidovudine', 'Musculoskeletal Pain', 'Fatigue', 'Epoprostenol', 'Pruritus', 'Fibromyalgia', 'Seizures', 'Pain']
33	Calf muscle pain and high cholesterol	I have copied this from a post I made in diagnostics and testing section. I am hoping someone can tell me if this sounds like fibromyalgia or something else. Hello everyone, I am new here and have yet to make an introduction, that will come next. I am truly hoping someone here can help me out. My sister has fibromyalgia and my neurologist recent diagnosed me with it, although I feel he hasnt done any tests that can really confirm it. Anyways, I have had a lot of tests donw this year and I have got copies of all of my results. I am hoping with the communities help or maybe a doctor I can figure out what is going on here. For the past several years the calve muscles in my legs (both of them) have been hurting severely. My entire body hurts and aches but half the time I dont even notice anymore because my legs pains are dwarfing any other pains. I have had an mri of my brain for the purpose of a ms diagnoses, and that appeared to be fine. No strokes or anything like that (thank god i'm only 34). I have tachyardia and high cholesterol so most doctors jump on the, its you heart bandwagon. I have had every test done on my heart as a result and they all come back ok. So with the heart ruled out, I had a bunch of blood tests ran, all were fine except for my cholesterol of course and my RF factor. It was elevated, I can give exact numbers if needed. My ana and all the other tests came back fine so I was reffered to a rheumatologist. She felt my hands and said she could feel they were inflamed, and ran a bunch of other tests. They all came back normal as well. I had asked her to test for muscular dystrophy because of all my symptoms and how long this stuff has been going on, obviously I have done my own research to figure out why I am hurting and to get answers. I know all labs are different, the lab they use seem to have higher reference ranges, not sure if that could cause a problem. Well my rheumatologist drew blood for aldonase serum or something like that. It came back 7.6, but anything under 8.5 is considered normal for the lab. I have had the nerve prick test and it showed mild to moderate neuropathy in my right leg which doctors said most people have that. A mild dehydration in my upper spine the neruologist again said was normal for a full time student looking at a computer. If the exact tests I have done are needed I will supply all of them and the reults, im in just so much pain and noone seems to be able to help me.	['Mild dehydration', 'Fibromyalgia', 'Cholesterol', 'Antibodies, Antinuclear', 'Hypercholesterolemia result', 'Cerebrovascular accident', 'Magnetic Resonance Imaging', 'Skin prick test', 'Pain', 'Pain - other', 'Neuropathy']	['Myalgia', 'Disease', 'Obesity', 'Hypercholesterolemia result', 'Fibromyalgia', 'FRAGILE X TREMOR/ATAXIA SYNDROME']	['Fentanyl', 'Virus Diseases', 'Progesterone', 'Cholesterol', 'Lamivudine / Zidovudine', 'Musculoskeletal Pain', 'Aphthous Stomatitis', 'Fatigue', 'Epoprostenol', 'Pruritus', 'Fibromyalgia', 'Seizures', 'Myalgia', 'Pain', 'Muscle Cramp']
34	Does Fibromyalgia cause severe breathing problems?	I've had Fibromyalgia for the past 20+ years now and in all that time my breathing has got worse and worse. Today I tried to change a wheel on my van and to be honest I nearly had a heart attack doing it. After being so athletic as a teen to where I am now makes me wonder if I actually suffer from some other lung condition. I've had a few x rays and all show a clear lung... I can't climb stairs and my life seems to be shortening! Is this a Fibromyalgia symptom?	['Myocardial Infarction', 'Fibromyalgia']	['Abnormal breathing', 'Communicable Diseases', 'Fibromyalgia', 'Analgesics']	['Muscle Weakness', 'Abnormal breathing', 'Confusion', 'Lamivudine / Zidovudine', 'Musculoskeletal Pain', 'Fatigue', 'Epoprostenol', 'Pruritus', 'Fibromyalgia', 'Seizures', 'Pain', 'Myocardial Infarction']
35	Can fibro cause neuro problems?	Hello all. I am getting a little frustrated with doctors lol. I keep getting bounced around & no one seems to have a DX for what is going on with me. The neurologist I am seeing now seems to think I have fibromyalgia but I am a little confused because a lot of what I have going on (other than the pain) seems to be neuro symptoms. I am hesitant to believe I have fibro since it seems to be a catch all DX for when they cannot figure out what is wrong & I just don't believe my symptoms are the same for fibro. So my questions is... can fibro cause/does anyone else have these symptoms with fibro??? Migraines, numbness/tingling of extremities & face, kaliedoscoped vision, small tremors in hands, recurring sinus/upper respiratory infections, dizziness, muted sensations, unexplained bruising on lower back, hives/rashes, swelling of extremities? I've tried to do some research online about fibro but most of what I read deals with the muscle pain, sheath tears, & cognitive issues. Any info would be greatly appreciated. THANKS!!!!	['Migraine Disorders', 'Catch - Finding of sensory dimension of pain', 'Respiratory Tract Infections', 'Dizziness', 'Myalgia', 'Fibromyalgia', 'Swelling', 'Contusions', 'Condoms, Male', 'Tremor', 'Pain']	[]	['Communicable Diseases', 'Lamivudine / Zidovudine', 'Musculoskeletal Pain', 'Respiratory Tract Infections', 'Fatigue', 'Dizziness', 'Vomiting', 'Irritable Bowel Syndrome', 'Tremor', 'Epoprostenol', 'Pruritus', 'Catch - Finding of sensory dimension of pain', 'Fibromyalgia', 'Bronchiolitis', 'Seizures', 'Myalgia', 'Pain', 'Contusions', 'Condoms, Male']
36	fibromyalgia causing shoulder and neck pain	hello. i have these pains in my shoulders, shoulder blades and neck. my doctor told me that i have fibromyalgia. he sent me to a masseuse, physiotherapist and even gym works. he gave me some meds for it like mersyndol forte, but none helped. most nights i would have headaches starting from my right frontal section and will spread all throughout my head. i wonder if my headaches and shoulder pains are connected. i'm suffering from these for 7 months now. i went to a pain specialist and suggested that i have an ultrasound. they found out that i have bursitis so they injected me with cortisone. this helped for a while but after a week the pain came back. i really don't know what's wrong. i am stressed out about my condition because i can't function normally. it's a bit depressing because after working, i'd be really sore that i can't do chores at home. i can't even play with my daughter because the pain stops me. i've been to three specialists but none of them can't put a name on it or explain to me what's happening.	['Chore', 'Shoulder Pain', 'Fibromyalgia', 'Headache', 'Cortisone', 'Bursitis', 'Pain']	['Depressed - symptom', 'pregabalin', 'Neck Pain', 'Imbalance', 'Fibromyalgia']	['Shoulder Pain', 'Lamivudine / Zidovudine', 'Cicatrix', 'esmolol', 'Fatigue', 'Exercise', 'Cortisone', 'Fibromyalgia', 'Disopyramide', 'Bursitis', 'Asthenia', 'Ache', 'Headache', 'Pain']
37	Pain in palm of hand while gripping something??	Hi everyone I was diagnosed with CTS a few months ago . I was having that tell tale sign of fingers going numb for months before but it wasn't every night. I also started to get tingly fingers and hands doing my job duties. Finally went to the dr and she said she suspects CTS. She sent me to get a nerve conduction test and that showed i had CTS in both hands , but more in my right. I was surprised I had it because I do not work a desk job. I work with adults that have developmental disabilities. But, I do lift weights and do crossfit, so I think it may be caused from that. Anyways, I was wondering if you guys with CTS also feel a pain in the meaty part of your palm when gripping items? Maybe not so much as a pain, but cramping and tiredness? If I'm using a screw driver, I have to stop a few times . I had to brush off my car today and scrape it (Silly Canada, dumping snow already) and I had to take many breaks because my hands were cramping up. TIA	['Fatigue', 'dumping', 'Bone Screws', 'Muscle Cramp', 'Developmental Disabilities', 'Pain', 'Nerve conduction study', 'Transient Ischemic Attack']	['pain in palm', 'Carpal Tunnel Syndrome', 'Communicable Diseases', 'Sign or Symptom']	['Carpal Tunnel Syndrome', 'Weakness of hand', 'Numbness', 'Reserpine', 'Pain', 'Muscle Cramp']
38	Wrist Popping	Within the past 3 weeks my wrist has been popping the counter clockwise and clockwise motion. The popping is very loud but doesn't hurt. It only hurts after long usage such as writing or repeated stress. The popping is in the middle at the bottom of my right hand and on my pinky side at the bottom as well. any thoughts as to what it is	['Thinking, function', 'Writing (function)']	[]	['Carpal Tunnel Syndrome', 'Pain', 'Weakness of hand', 'Fungizone', 'Numbness']
39	Sore wrist for two weeks, worst in morning, gets better in day	"34 year old male, 220 lbs, 6'3'', white Pain around wrist, seems near the ""pisiform"" bone; whatever tendon is there?, and finger motion has no bearing on pain Out of the blue, I woke up two Mondays ago with a very sore wrist. I can't remember any injury, maybe I slept on it wrong? I can't even hold a cup of coffee right when I get up. I wake up with an ache on the underside of my wrist, pinky side every day. Usually, I get out of bed bearing weight on the wrist, but it can't bear any weight. I have tried immobilizing it using a brace, but it seems to make it worse. I am using advil and cold packs, but it doesn't seem to be doing anything. What makes it better is use and specifically when I actively 'stretch into the pain"" and hold. I did this yesterday morning and it got to the point where I almost forgot about my aching wrist. It seems rest is brings back my pain. At this point, I can almost use my wrist normally, (aka holding things, bearing weight on it, etc) The doctor's office told me to continue icing and using advil and call back in a couple of weeks if it continues. What on earth could this possible be? - Rheumatoid arthritis? - Tendonitis? - Carpal tunnel syndrome? Any advice?"	['Rheumatoid Arthritis', 'Tendinitis', 'Carpal Tunnel Syndrome', 'Cold pack (medical device)', 'Weight Bearing', 'Bearing Device Component', 'Advil', 'Ache', 'Pain']	[]	['Numbness', 'Carpal Tunnel Syndrome', 'Pain', 'Weakness of hand', 'Fungizone']
41	Recovery after Carpal tunnel Surgery? (Page 1)	I am scheduled for right hnad surgery on September 25. My main question is, how long is the minimum recommended time off work a person should be taking? I do a lot of things with my hands and of course i am right handed. Lots of computer typing, stapling, hole punching and a lot of grasping like opening ziplock bags of things as all our orders are kept in those. Even now I am dropping things, have pain shooting up both arms and even have headaches and neck pain from it. I even already have the pillar pain, so I'm hoping the after surgery effects wont be waaaay more severe than what i have currently, but I don't wnat to go back too soon and cause healing problems. I don't get paid for the time off, hence the minimum time away that is considered safe. I realize everyone heals differently, so its obviously a lose guess, but i would be very interetsed in others work experiences and how long they needed off, just so i can have a ball park as to what to tell the boss. Thnaks, all.	['Shooting pain', 'Punch', 'Drops things', 'Amount of time off work', 'Neck Pain', 'Pain']	[]	['Numbness', 'Carpal Tunnel Syndrome', 'Pain', 'Weakness of hand', 'Fungizone']
42	Hard to make a fist. Help!	I was recently diagnosed with carpal tunnel. The doctor who performed the tests said it was a mild to moderate case. Although my hand always hurts, sometimes it is much more tolerable than other times. This happened to be one of the rare days where the pain wasn't as bad. I wonder if I went on a day when the pain was very bad if the results would have shown a more serious case? I am writing mainly because it always hurts to make a fist. Some days it is worse than others, but it always hurts nonetheless. The pain feels like it is mainly in my middle finger. I can feel a bump/pop in the base of my palm when I try to make a fist. I can do it, but I have to squeeze hard and it hurts very bad. If i accidentally fall asleep without my wrist brace, I won't even be able to close my hand at all when I wake up. I'm just wondering if this is a result of my carpal tunnel. I assume it is, but I can't find any information about someone with my specific problem on the Internet. I do deal with the regular side effects as well such as tingling and numbness. Is the pain when I try to close my hand normal too? Any information would be appreciated. If it helps to know, I am a 22 year old male. Average height and weight.	['Pain', 'Numbness']	[]	['Carpal Tunnel Syndrome', 'Weakness of hand', 'Pain', 'Fungizone', 'Numbness']
43	Omeprazole	I just saw my ENT doctor about throat problems (coughing, trouble with hacking mucus, mucus not coming up with cough and hacking), he said all my problems were due to acid reflux and prescribed me Omeprazole (he also told me to take less of the ranitidine, which I admittedly had been taking a lot, and to not take Tums because the calcium causes more acid), and then gave me a referal to a gastroenterologist. My question is regarding the Omeprazole. My doctor didn't say how long I should take it. I know you're not supposed to take it long term, but I don't know why not. The box says not to take it for more than 14 days, and says to only take once a day. My doctor said to take twice a day, and didn't say when I should stop. I bought a 42 pill box, but my question is, why is taking this for too long harmful, and how long is too long?	['Gastroesophageal reflux disease', 'Tums', 'Coughing', 'Pharynx problem', 'Ranitidine', 'Omeprazole']	['Gastroesophageal reflux disease', 'nilotinib', 'Omeprazole']	['Coughing', 'Chest Pain', 'lump in throat', 'Dyspnea', 'Heartburn', 'liraglutide', 'Pruritus', 'Gastroesophageal reflux disease', 'Ranitidine', 'Ethinyl Estradiol', 'Arm Pain', 'Omeprazole', 'Myocardial Infarction']
45	How to Cure Acid Reflux Disease Naturally	Hi, My brother's girlfriend works in a health food and herb store, she's told me that deglycyrrhizinated licorice (or licorice root...in supplement form) can be used to help relax the stomach. Basically what she said was that it acts as a natural stomach coater, it also helps with digestion and heartburn (and inflammed muscles for those who have nasty chest and back pains) to ease that icky burning up the esophagus. If you're going to try it, make sureee and i can't stress it enough that it's Deglycyrrhizinated licorice, because if it's glycyrrhizinated then it may give u high blood pressure. So far it seems to relax my GERD quite a bit, it may not be a complete solution to medication but it's worth a try. Anyway, take care.	['Burning sensation', 'Heartburn', 'Glycyrrhiza glabra extract', 'Gastroesophageal reflux disease', 'Back Pain', 'Hypertensive disease', 'Licorice']	[]	['Back Pain', 'Chest Pain', 'lump in throat', 'Hypertensive disease', 'paliperidone', 'Dyspnea', 'Heartburn', 'liraglutide', 'Pruritus', 'Gastroesophageal reflux disease', 'Arm Pain']
46	Acid Reflux Help	One year ago I was suffering from severe reflux. My GI doctor prescribed a PPI, which I took for several weeks. The reflux stopped, but I started to get nausea, gas, abdominal pain, so I stopped taking the PPIs. I ended up traveling up to a clinic in Washington state. The doctor name was Jonathan Wright. They gave me a Heidelberg pH Test and found that I had weak stomach acid. I was told that I should have never been prescribed a PPI, for low stomach acid. After running several different tests, I was told that the PPIs threw my digestive process out of balance. The doctor told me that I was seriously deficient in several vitamin and minerals, especially B vitamins. They prescribed a natural product to rebalance my digestive process and vitamins and minerals. The reflux and nausea did not reoccur. Dr. Wright had previously suggested that I should have a second Heidelberg test, to monitor the treatment protocol he set up for me. Two months ago I went back to Dr. Wrights clinic and had a second Heidelberg test done. The test indicated that my digestive process has returned to normal and my vitamin and mineral absorption had greatly improved.	['Vitamin B Complex', 'travel', 'Gastroesophageal reflux disease', 'Running (physical activity)', 'Wright stain', 'Abdominal Pain', 'Nausea', 'Minerals', 'Natural Products', 'pH TEST']	[]	['Abdominal Pain', 'Nausea', 'Chest Pain', 'lump in throat', 'Natural Products', 'Death (finding)', 'Dyspnea', 'Glycoprotein Hormones, alpha Subunit', 'prasugrel', 'Drowsiness', 'Bumetanide', 'Heartburn', 'liraglutide', 'Pruritus', 'Burning sensation', 'Gastroesophageal reflux disease', 'Arm Pain', 'Pain', 'Myocardial Infarction']
48	PPI's Prilosec & Nexium - causes gastritus (Worse than reflu	PPI's - Prilosec & Nexium. Severe reactions & damage are happening to many people. Many of them unaware that their solution is causing similar but a new host of problems. I am suffering with gastritus and have had the worst year of my life physically since taking prilosec. Many years ago I had reflux from a high stress job and coffee, etc.. After a parent died, and a severe reflux bout, I didn't understand reflux. No one explained eating lots of small meals.. or laying down on an incline, or sitting up three hours after you eat.. or cutting out wine, chocolate, sauce, spices coffee.. though I figured some of that out. Instead I too Nexium for SIX Months... fearing to get off it.. but I couldnt stop the nerves I had and my mother realized it WAS the medicine. So I stopped and slowly got back to normal.. that was in my 30s. Flash forward.... some reflux again in my 40s... I find out I have POLYPS in my gallbladder.. WHY? welll reading on reactions it says some users get stomach polyps too!. Not good. But not realizing I took Prilsec again for two months. Older and more vulnerable to reactions, I went by ambulence for TWICE for the first time in my life after taking prilosec. I also had a knot under my stomach that got worse and worse.. all the while thinking it safe and not strong enough for reflux going wild.. NOT REFLUX THOUGH.. it was Gastritus! far worse.. ruining my digestive system. Soon I was unable to drive ... !! totally a basket case physically and mentally. Then I couldn't sleep... SLEEP APNIA!! digestion impossible at night a NIGHTMARE. Weeks off the prilosec and I could walk outside take a shower more confidently but the rumbling in my stomach made my sides hurt for MANY months and I felt like I had to hold the walls when walking down stairs...!! insane I know I was an athlete and this really ruined my year. Friends drove me around for months.. and then slowly helped me drive again.. with them in the car. My arm and fingers were getting numb after eating. Spice would make me feel like I could pass out! But it was just pressure. I still cannot get up in the morning and not need to eat quickly or I will face horrible gastritus making me feel like I could pass out. Heart is good.. every test...moniter, you name it..... Endoscopy all good no hpylori, no woman cancers... all checked... even a head scan..all ok but now I am radiated! oh well thanks for the additional risk factor. It was prilosec and the generic equivalent being dished out by doctors who think they need to give you something for you to want to go there. The FDA has been aware of the over the counter and prescription PPI's (omeprazole and other similar names) and they are not properly warning people. REAL DAMAGE is being done to countless people Please google prilosec ruined my life.. where a college kid was totally messed up by it. Also google prilosec reactions etc.. Pills like this can suddenly turn and cause damage that you wouldnt even realized.. they are not innocuous!! they are hurting the people of this country and nothing is being done about it.	['Fear (Mental Process)', 'Prilosec', 'Walking (activity)', 'Endoscopy (procedure)', 'Nothing', 'Gastroesophageal reflux disease', 'polyps', 'Does sit up', 'Nexium', 'Malignant Neoplasms', 'Flash', 'Omeprazole', 'Reading (activity)', 'Polyposis, Gastric', 'Thinking, function', 'Nightmares', 'WAS protein, human']	['Gastroesophageal reflux disease', 'Nexium', 'nilotinib', 'Prilosec']	['Nightmares', 'valsartan', 'Endoscopy (procedure)', 'Chest Pain', 'lump in throat', 'glimepiride', 'temozolomide', 'Dyspnea', 'Nexium', 'Heartburn', 'liraglutide', 'Fear (Mental Process)', 'Pruritus', 'Burning sensation', 'Prilosec', 'Gastroesophageal reflux disease', 'Chlorothiazide', 'Arm Pain', 'imatinib', 'Omeprazole', 'Myocardial Infarction']
50	Quitting Omeprazole 40mg	Hi I am 19 doctor put me on Omeprazole 40mg a day for 21 days but I want to quit earlier.. Didn't realize the terrible rebound and side effects that could happen. I got on it because of acid reflux, palpitations, and chest tightness after eating. It worked but I'm feeling better now and I am just terrified if I get off of it it will become worse.. Would it be fine if I quit cold turkey and took tums/Pepcid for the issues? Or would I have to gradually wean off of it? I have only been taking it exactly for a week.	['Palpitations', 'Chest tightness', 'Gastroesophageal reflux disease']	[]	['Chest Pain', 'lump in throat', 'Dyspnea', 'Chest tightness', 'Heartburn', 'liraglutide', 'Pruritus', 'Gastroesophageal reflux disease', 'Valproate', 'Arm Pain', 'Palpitations', 'Apomorphine', 'lapatinib']
51	low ferritin level not responding	For the past 11 years i have ben sufering from worsoning symptoms of anemia. It started as tiredness and over the years has gotten steadily worse. Now my symptoms are.... -severe fatigue -extreme breathlessness so severe that at times i pass out -bluish tinge to my lips -pallor -hair loss/thinning -angular chelitis on both sides of my mouth -extremely slow healing -irregular heartbeat -exhaustion -depression -cognitive impairment -pica It sounds like a normal case of anemia that has been untreated but im not anemic. The levels of iron in my blood and my red blood cells have been persistantly normal. My doctor has been taking blood every 2 months for the past few years trying to get to the bottom of this. She has ruled out..... -pernicious anemia -thyroid problems -various cancers -coeliac disease -haemochromatosis -internal bleeding -psychosomyic causes my blood test results are always the same..... I get normal results for- Hb (hemoglobin) RCC (red cell count) Hct (haematocrit) MCV (mean cell volume) MCHC (mean cell haemoglobin concentration) MCH (mean cell haemoglobin) RDW (Red blood cell distribution width) White cells/ lymphocytes normal Platelets normal B12 normal I am a healthy weight and have no other illnesses. The only test which comes back abnormal is my ferritin (iron stores) level. It is 4 and has been 4 in every test. It should be 12. I have tried various iron tablets but they made me sick. My doctor finally found one i could tolerate along withnan iron rich diet but after six months my ferritin was still 4. I have taken courses of iron injections and that has also failed to raise my ferritin. The doctor tried giving me higher doses and it didnt work. She theorised that the iron being injected was immediately taken up by my blood and not stored so i was taken into hospital and given iron overdoses and still no change. Basically i have a persistent iron store level of 4 despite all attempts at treatment. Even though my iron stores are low the iron in my blood is alwyas a healty level 13 but despite the fact that technically because of this i dont have anemia i have all the symptoms. None of my doctors know how to proceed. They tried a blood transfusion but since imnot actaully anemic it didnt make any diference. Im starting oxegen therapy soon due to passing out from breathlessness. I feel like im going to die if someone cant figure out whats going on.	['Anemia', 'Ferritin', 'thyroid problem', 'Celiac Disease', 'Renal Cell Carcinoma', 'Internal hemorrhage', 'Pallor', 'Dyspnea', 'Hemochromatosis', 'Iron', 'Normal B12', 'Hematocrit level', 'Pica Disease', 'Mean cell hemoglobin concentration - finding', 'Exhaustion', 'Anemia, Pernicious', 'Hemoglobin', 'Malignant Neoplasms', 'Impaired cognition', 'Irregular heart beat', 'Fatigue', 'Mean Corpuscular Volume (result)', 'Mental Depression', 'Cheilitis']	['Finding', 'Anemia', 'Ferritin level low', 'Collapsing pulse']	['Carbonic Anhydrase Inhibitors', 'Fatigue', 'Anemia', 'Iron', 'Iron deficiency anemia', 'Hemoglobin', 'Hemorrhage']
53	My Story And a Possible Solution to Itp	I had full-blown thrombocytopenia purpura for quite a while. My platelet count dropped to 4,000. They gave me prednisone for a long time and the count kept dropping after the the dosage was reduced. In early tests my spleen wasn't functioning abnormally and I did not have any form of cancer. My eukaryocytes were abundant. But somehow the count was still dropping. I took matters in my own hands and did a lot of research. Ascorbic acid (vitamin c) fights off infections. I took four ascorbic acid tablets per day. My platelet count lingered around 70k. Then slowly began to drop again. The vitamin c had some effect to say the least but did not stop the pestilence. Since that wasn't quite the answer, I did research on other vitamins. The potassium vitamin actually caught my attention first. It seems that potassium is an antagonist to rat poison. Rat poison makes the rats bleed internally. Potassium strengthens cells. After I started taking the potassium with ascorbic acid, my platelet count jumped to eighty thousand. Three months later, it was at 120,000. Now it has been three more months and I haven't experienced any negative affects. It seems the disease has lost its potency. I no longer have nose bleeds, fatigue, nor ruptures underneath my skin. I'm not saying this is the answer for everybody... But it seems to be working for me. Sadly the doctors laughed it off. It seems they are more afraid of losing money from the drug companies but i'd rather not conclude that. It is just a thought. And there is always the chance that there is another reason why it just got better on its own. This isn't likely considering nothing worked until I took these vitamins. I was just ecstatic when I started to get better. Overall, I recommend for any suffering individuals to try this treatment. This isn't for cancer patients, etc. Obviously. It may or may not work, but when I was sick I tried everything I could (that wasn't dangerous). Don't overdose on it either! I wonder if it has a chance of working on others. If anybody else tries this, please leave a response. Then maybe give me an update a month or two. Good luck	['Nothing', 'Epistaxis', 'Fatigue', 'Ascorbic Acid', 'Rupture', 'Malignant Neoplasms', 'Fighting', 'Potassium', 'Butting', 'VITAMINS,OTHER', 'Poisons', 'Prednisone', 'Thinking, function', 'Thrombocytopenic purpura']	['Disease', 'Anemia', 'Immune thrombocytopenic purpura']	['Thrombocytopenia', 'Neutra-Phos-K', 'Immune thrombocytopenic purpura', 'Dyspnea', 'Anemia', 'rivastigmine', 'Iron', 'Iron deficiency anemia', 'Hemoglobin', 'Thrombocytopenic purpura', 'Hemorrhage', 'Potassium']
